Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
1,,CASH,Candy ,Candy ,0.00,4.31,Drive Box,8/25/25 6:31 AM,8/25/25 6:29 AM
2,,CREDIT,Candy ,Candy ,1.00,4.31,,8/25/25 6:35 AM,8/25/25 6:29 AM
3,,CREDIT,Candy ,Candy ,0.00,8.09,,8/25/25 6:36 AM,8/25/25 6:30 AM
4,,CREDIT,Candy ,Candy ,0.00,4.31,,8/25/25 6:38 AM,8/25/25 6:31 AM
6,,CREDIT,Candy ,Candy ,0.00,6.45,,8/25/25 6:39 AM,8/25/25 6:35 AM
8,,CASH,Candy ,Candy ,0.00,16.17,Drive Box,8/25/25 6:40 AM,8/25/25 6:37 AM
9,,CREDIT,Candy ,Candy ,0.00,7.02,,8/25/25 6:43 AM,8/25/25 6:39 AM
10,,CREDIT,Candy ,Candy ,0.00,12.10,,8/25/25 6:49 AM,8/25/25 6:49 AM
7,,CASH,Candy ,Candy ,0.00,10.58,Drive Box,8/25/25 6:52 AM,8/25/25 6:37 AM
11,,CASH,Candy ,Candy ,0.00,15.53,Drive Box,8/25/25 6:55 AM,8/25/25 6:51 AM
12,,CASH,Candy ,Candy ,0.00,3.24,Drive Box,8/25/25 7:05 AM,8/25/25 7:05 AM
5,25,CREDIT,Maria,Maria,3.00,20.52,,8/25/25 7:06 AM,8/25/25 6:32 AM
14,,CREDIT,Candy ,Candy ,0.00,2.15,,8/25/25 7:14 AM,8/25/25 7:11 AM
15,,CASH,Candy ,Candy ,0.00,5.29,Drive Box,8/25/25 7:15 AM,8/25/25 7:13 AM
16,,CREDIT,Candy ,Candy ,0.00,5.17,,8/25/25 7:18 AM,8/25/25 7:15 AM
17,,CASH,Candy ,Candy ,0.00,20.96,Drive Box,8/25/25 7:20 AM,8/25/25 7:17 AM
18,,CREDIT,Candy ,Candy ,1.00,9.06,,8/25/25 7:23 AM,8/25/25 7:18 AM
19,,CREDIT,Candy ,Candy ,0.00,12.18,,8/25/25 7:24 AM,8/25/25 7:19 AM
21,,CREDIT,Candy ,Candy ,2.00,7.54,,8/25/25 7:25 AM,8/25/25 7:21 AM
24,,CASH,Candy ,Candy ,0.00,8.61,Drive Box,8/25/25 7:28 AM,8/25/25 7:23 AM
25,,CREDIT,Candy ,Candy ,0.00,9.13,,8/25/25 7:28 AM,8/25/25 7:25 AM
26,,CASH,Candy ,Candy ,0.00,2.15,Drive Box,8/25/25 7:33 AM,8/25/25 7:29 AM
20,,CREDIT,Maria,Maria,0.00,56.33,,8/25/25 7:36 AM,8/25/25 7:21 AM
13,11,CREDIT,Maria,Maria,0.00,24.43,,8/25/25 7:36 AM,8/25/25 7:07 AM
29,,CREDIT,Candy ,Candy ,0.00,7.82,,8/25/25 7:37 AM,8/25/25 7:37 AM
28,,CREDIT,Maria,Maria,0.00,5.17,,8/25/25 7:39 AM,8/25/25 7:30 AM
30,,CASH,Candy ,Candy ,0.00,6.46,Drive Box,8/25/25 7:43 AM,8/25/25 7:38 AM
31,,CREDIT,Candy ,Candy ,3.00,26.73,,8/25/25 7:45 AM,8/25/25 7:43 AM
32,,CREDIT,Candy ,Candy ,0.00,4.09,,8/25/25 7:53 AM,8/25/25 7:45 AM
37,,CREDIT,Candy ,Candy ,1.00,6.03,,8/25/25 7:54 AM,8/25/25 7:53 AM
36,,CREDIT,Candy ,Candy ,0.00,2.70,,8/25/25 7:58 AM,8/25/25 7:52 AM
38,,CREDIT,Candy ,Candy ,0.00,14.06,,8/25/25 7:59 AM,8/25/25 7:53 AM
38,,CREDIT,Candy ,Candy ,0.00,-14.06,,8/25/25 8:00 AM,8/25/25 7:53 AM
42,,CREDIT,Candy ,Candy ,0.00,16.62,,8/25/25 8:00 AM,8/25/25 8:00 AM
38,,CASH,Candy ,Candy ,0.00,14.06,Drive Box,8/25/25 8:03 AM,8/25/25 7:53 AM
45,,CREDIT,Ivana,Ivana,2.00,13.59,,8/25/25 8:04 AM,8/25/25 8:04 AM
40,,CREDIT,Candy ,Candy ,0.00,8.84,,8/25/25 8:04 AM,8/25/25 7:55 AM
43,,CREDIT,Candy ,Candy ,1.00,2.70,,8/25/25 8:05 AM,8/25/25 8:01 AM
44,,CREDIT,Candy ,Candy ,0.00,33.05,,8/25/25 8:05 AM,8/25/25 8:01 AM
46,,CREDIT,Candy ,Candy ,0.00,8.62,,8/25/25 8:10 AM,8/25/25 8:04 AM
47,,CREDIT,Candy ,Candy ,0.00,8.30,,8/25/25 8:12 AM,8/25/25 8:04 AM
52,,CREDIT,Candy ,Candy ,0.00,6.03,,8/25/25 8:14 AM,8/25/25 8:14 AM
50,,CREDIT,Ivana,Ivana,0.00,5.81,,8/25/25 8:15 AM,8/25/25 8:09 AM
34,23,CREDIT,Maria,Maria,0.00,25.13,,8/25/25 8:16 AM,8/25/25 7:47 AM
39,,CREDIT,Candy ,Candy ,2.00,17.05,,8/25/25 8:17 AM,8/25/25 7:54 AM
51,,CASH,Candy ,Candy ,0.00,4.31,Drive Box,8/25/25 8:18 AM,8/25/25 8:14 AM
53,,CREDIT,Candy ,Candy ,0.00,6.47,,8/25/25 8:19 AM,8/25/25 8:15 AM
55,,CREDIT,Candy ,Candy ,3.00,8.21,,8/25/25 8:25 AM,8/25/25 8:25 AM
